,Country Name,Year,Age
3,Italy,1960,69.1
4,Italy,1961,69.8
5,Italy,1962,69.1
6,Italy,1963,69.2
7,Italy,1964,70.3
8,Italy,1965,70.2
9,Italy,1966,70.9
10,Italy,1967,71.0
11,Italy,1968,70.8
12,Italy,1969,70.8
13,Italy,1970,71.6
14,Italy,1971,71.8
15,Italy,1972,72.1
16,Italy,1973,72.0
17,Italy,1974,72.7
18,Italy,1975,72.6
19,Italy,1976,73.0
20,Italy,1977,73.4
21,Italy,1978,73.7
22,Italy,1979,74.0
23,Italy,1980,73.9
24,Italy,1981,74.4
25,Italy,1982,74.8
26,Italy,1983,74.6
27,Italy,1984,75.4
28,Italy,1985,75.5
29,Italy,1986,75.8
30,Italy,1987,76.2
31,Italy,1988,76.4
32,Italy,1989,76.8
33,Italy,1990,77.0
34,Italy,1991,77.0
35,Italy,1992,77.4
36,Italy,1993,77.7
37,Italy,1994,77.9
38,Italy,1995,78.2
39,Italy,1996,78.5
40,Italy,1997,78.8
41,Italy,1998,79.0
42,Italy,1999,79.4
43,Italy,2000,79.8
44,Italy,2001,80.1
45,Italy,2002,80.2
46,Italy,2003,80.0
47,Italy,2004,80.8
48,Italy,2005,80.8
49,Italy,2006,81.3
50,Italy,2007,81.4
51,Italy,2008,81.5
52,Italy,2009,81.6
53,Italy,2010,82.0
54,Italy,2011,82.2
55,Italy,2012,82.2
56,Italy,2013,82.7
57,Italy,2014,83.1
58,Italy,2015,82.5
59,Italy,2016,83.2
60,Italy,2017,82.9
61,Italy,2018,83.3
62,Italy,2019,83.5
63,Italy,2020,82.2
64,Italy,2021,82.6
65,Italy,2022,82.9
