,Unnamed: 0,Year,Population
0,3,1960,50199700.0
1,4,1961,50536350.0
2,5,1962,50879450.0
3,6,1963,51252000.0
4,7,1964,51675350.0
5,8,1965,52112350.0
6,9,1966,52519000.0
7,10,1967,52900500.0
8,11,1968,53235750.0
9,12,1969,53537950.0
10,13,1970,53821850.0
11,14,1971,54073490.0
12,15,1972,54381345.0
13,16,1973,54751406.0
14,17,1974,55110868.0
15,18,1975,55441001.0
16,19,1976,55718260.0
17,20,1977,55955411.0
18,21,1978,56155143.0
19,22,1979,56317749.0
20,23,1980,56433883.0
21,24,1981,56501675.0
22,25,1982,56543548.0
23,26,1983,56564074.0
24,27,1984,56576718.0
25,28,1985,56593071.0
26,29,1986,56596155.0
27,30,1987,56601931.0
28,31,1988,56629288.0
29,32,1989,56671781.0
30,33,1990,56719240.0
31,34,1991,56758521.0
32,35,1992,56797087.0
33,36,1993,56831821.0
34,37,1994,56843400.0
35,38,1995,56844303.0
36,39,1996,56860281.0
37,40,1997,56890372.0
38,41,1998,56906744.0
39,42,1999,56916317.0
40,43,2000,56942108.0
41,44,2001,56974100.0
42,45,2002,57059007.0
43,46,2003,57313203.0
44,47,2004,57685327.0
45,48,2005,57969484.0
46,49,2006,58143979.0
47,50,2007,58438310.0
48,51,2008,58826731.0
49,52,2009,59095365.0
50,53,2010,59277417.0
51,54,2011,59379449.0
52,55,2012,59539717.0
53,56,2013,60233948.0
54,57,2014,60789140.0
55,58,2015,60730582.0
56,59,2016,60627498.0
57,60,2017,60536709.0
58,61,2018,60421760.0
59,62,2019,59729081.0
60,63,2020,59438851.0
61,64,2021,59133173.0
62,65,2022,58940425.0
